                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3387,                  14.23,                 8.4816,                0.00223,                0.00562,                0.00117,                0.00032,                 5.8404,                 9.6193,                 9.1389,              0.0033195,              0.0033195,              0.0033195
                      2,                 5.2207,                 9.2052,                 6.8941,                0.14014,                0.02508,                0.00764,                0.00285,                 4.1621,                 9.3622,                 5.7588,              0.0066089,              0.0066089,              0.0066089
                      3,                 3.5197,                   5.73,                 4.6413,                0.72963,                0.09563,                0.10613,                0.05928,                 3.4603,                 5.6561,                 4.7489,              0.0098544,              0.0098544,              0.0098544
                      4,                 3.0493,                 4.3592,                  4.065,                0.56799,                0.18681,                0.18313,                0.11253,                 3.0562,                 4.6288,                 4.2423,               0.009802,               0.009802,               0.009802
                      5,                 2.8371,                 3.6759,                 3.8048,                0.37421,                0.28953,                0.24286,                0.14724,                  2.939,                  3.968,                 4.0127,               0.009736,               0.009736,               0.009736
                      6,                 2.7237,                 3.2631,                 3.6569,                0.35541,                0.40515,                0.31027,                0.19059,                 2.7314,                 3.5713,                 3.7322,                0.00967,                0.00967,                0.00967
                      7,                 2.6342,                 3.0098,                 3.5345,                0.48571,                 0.4292,                0.36585,                0.22132,                 2.7637,                 3.1824,                 3.6742,               0.009604,               0.009604,               0.009604
                      8,                 2.5624,                 2.8291,                 3.4482,                0.52618,                0.44518,                0.39288,                0.24714,                 2.5611,                 2.9484,                 3.4781,               0.009538,               0.009538,               0.009538
                      9,                 2.5021,                 2.6805,                 3.3634,                  0.507,                0.50547,                0.40452,                0.25659,                 2.4984,                 2.7789,                 3.4219,               0.009472,               0.009472,               0.009472
                     10,                  2.442,                 2.5701,                    3.3,                0.53603,                0.50673,                0.41798,                0.27282,                 2.4468,                 2.6575,                  3.364,               0.009406,               0.009406,               0.009406
                     11,                 2.4109,                 2.4774,                  3.248,                0.51689,                0.52057,                0.44411,                 0.2837,                 2.4067,                 2.5886,                 3.2929,                0.00934,                0.00934,                0.00934
                     12,                 2.3776,                 2.4177,                 3.2089,                0.56938,                0.54416,                0.45239,                0.29332,                 2.3859,                 2.5392,                 3.2639,               0.009274,               0.009274,               0.009274
                     13,                 2.3216,                 2.3335,                 3.1597,                0.55327,                0.51631,                0.45006,                0.29512,                 2.3393,                  2.498,                 3.2452,               0.009208,               0.009208,               0.009208
                     14,                 2.2966,                 2.2859,                 3.1322,                0.56156,                0.54543,                0.47815,                 0.3158,                 2.3091,                  2.432,                 3.2062,               0.009142,               0.009142,               0.009142
                     15,                  2.268,                 2.2363,                 3.0878,                0.60812,                0.53514,                0.51995,                0.34379,                 2.2718,                 2.2876,                 3.1473,               0.009076,               0.009076,               0.009076
                     16,                 2.2432,                   2.18,                 3.0654,                 0.6708,                0.54296,                0.54722,                0.36757,                 2.2011,                 2.1641,                 3.0892,                0.00901,                0.00901,                0.00901
                     17,                 2.2228,                 2.1477,                 3.0435,                0.68726,                 0.5579,                0.55133,                  0.373,                 2.1769,                 2.3079,                 3.0623,               0.008944,               0.008944,               0.008944
                     18,                 2.1865,                 2.0927,                 3.0034,                0.67682,                0.55146,                0.57212,                0.38522,                 2.1695,                 2.1422,                 3.0584,               0.008878,               0.008878,               0.008878
                     19,                 2.1729,                 2.0679,                 2.9923,                0.70325,                0.55817,                0.57981,                0.39015,                 2.1736,                 2.1025,                 3.0433,               0.008812,               0.008812,               0.008812
                     20,                 2.1556,                 2.0158,                 2.9697,                0.70321,                0.56428,                0.59166,                 0.3964,                 2.1686,                 2.1395,                 3.0506,               0.008746,               0.008746,               0.008746
                     21,                 2.1302,                 1.9838,                 2.9361,                0.74536,                0.60535,                0.61479,                0.41193,                 2.1599,                 2.0377,                 3.0119,                0.00868,                0.00868,                0.00868
                     22,                 2.1223,                 1.9596,                 2.9273,                0.76188,                0.58998,                0.63509,                0.42978,                 2.1507,                 2.0049,                 2.9918,               0.008614,               0.008614,               0.008614
                     23,                 2.1047,                  1.925,                 2.9011,                0.74443,                0.59968,                0.62866,                0.41993,                  2.144,                 1.9664,                 3.0041,               0.008548,               0.008548,               0.008548
                     24,                 2.0846,                 1.9057,                 2.8826,                0.75408,                0.57774,                0.62405,                0.43121,                 2.0709,                 1.9563,                 2.9336,               0.008482,               0.008482,               0.008482
                     25,                 2.0705,                 1.8866,                 2.8639,                 0.7477,                0.63624,                0.65858,                  0.456,                 2.0478,                 1.8911,                 2.9028,               0.008416,               0.008416,               0.008416
                     26,                 2.0553,                 1.8621,                 2.8541,                0.77335,                0.63719,                0.66793,                0.46163,                 2.0303,                 1.8909,                 2.8948,                0.00835,                0.00835,                0.00835
                     27,                 2.0471,                 1.8391,                  2.843,                0.82106,                0.61053,                 0.6713,                0.46451,                  2.022,                 1.8141,                 2.8911,               0.008284,               0.008284,               0.008284
                     28,                 2.0314,                 1.8234,                 2.8347,                0.78432,                0.62944,                0.66281,                0.45758,                 2.0006,                 1.8628,                 2.8637,               0.008218,               0.008218,               0.008218
                     29,                 2.0187,                 1.7888,                 2.8117,                0.74962,                0.64807,                0.67634,                0.46617,                 1.9978,                 1.8107,                  2.868,               0.008152,               0.008152,               0.008152
                     30,                 2.0028,                 1.7775,                 2.7983,                0.81842,                0.61589,                0.68642,                0.48224,                 1.9851,                 1.7959,                 2.8415,               0.008086,               0.008086,               0.008086
                     31,                 1.9884,                 1.7625,                 2.7829,                0.81473,                0.62374,                0.69128,                0.47666,                 1.9821,                 1.7687,                 2.8569,                0.00802,                0.00802,                0.00802
                     32,                 1.9775,                 1.7441,                 2.7726,                0.81435,                 0.6463,                0.70615,                0.48485,                 1.9867,                 1.7566,                 2.8361,               0.007954,               0.007954,               0.007954
                     33,                 1.9668,                 1.7168,                 2.7479,                0.79045,                0.67509,                0.70855,                0.49254,                 1.9411,                 1.6991,                 2.7925,               0.007888,               0.007888,               0.007888
                     34,                  1.966,                 1.7169,                 2.7475,                0.80383,                0.66563,                0.69877,                0.48421,                 1.9527,                 1.7125,                 2.7977,               0.007822,               0.007822,               0.007822
                     35,                 1.9377,                 1.6826,                 2.7321,                 0.8326,                0.66853,                 0.7057,                0.49174,                 1.9481,                 1.7049,                 2.8001,               0.007756,               0.007756,               0.007756
                     36,                 1.9345,                 1.6619,                 2.7223,                 0.8209,                0.65768,                0.70416,                0.49237,                 1.9089,                 1.6941,                 2.7704,                0.00769,                0.00769,                0.00769
                     37,                  1.939,                 1.6737,                 2.7179,                0.83116,                0.66898,                0.71762,                 0.5004,                 1.9246,                 1.6747,                 2.7837,               0.007624,               0.007624,               0.007624
                     38,                 1.9215,                 1.6548,                 2.7036,                 0.8147,                0.68207,                0.71306,                0.50083,                 1.9071,                 1.6737,                 2.7559,               0.007558,               0.007558,               0.007558
                     39,                 1.9137,                 1.6376,                  2.691,                0.83274,                0.66642,                0.71559,                0.50181,                 1.9021,                 1.6681,                 2.7538,               0.007492,               0.007492,               0.007492
                     40,                 1.9043,                 1.6285,                  2.702,                0.82434,                0.66285,                0.71539,                0.50136,                 1.9004,                 1.6591,                 2.7581,               0.007426,               0.007426,               0.007426
                     41,                 1.8948,                 1.6124,                 2.6769,                0.81827,                0.67992,                 0.7158,                0.50312,                 1.9054,                 1.6541,                 2.7607,                0.00736,                0.00736,                0.00736
                     42,                 1.8809,                 1.5931,                 2.6628,                0.81627,                0.67385,                0.71714,                0.49818,                 1.9012,                 1.6337,                 2.7489,               0.007294,               0.007294,               0.007294
                     43,                 1.8809,                 1.5992,                 2.6601,                0.84559,                0.67249,                0.72201,                0.50509,                 1.8834,                 1.6251,                 2.7373,               0.007228,               0.007228,               0.007228
                     44,                 1.8812,                  1.587,                 2.6516,                0.82608,                0.68257,                0.72443,                0.51351,                 1.8686,                 1.6037,                   2.72,               0.007162,               0.007162,               0.007162
                     45,                 1.8655,                 1.5677,                 2.6427,                0.84176,                0.67603,                0.73105,                0.51581,                 1.8654,                 1.5877,                  2.721,               0.007096,               0.007096,               0.007096
                     46,                 1.8621,                 1.5678,                 2.6403,                0.85309,                 0.6834,                0.73836,                 0.5194,                 1.8598,                 1.5877,                 2.7154,                0.00703,                0.00703,                0.00703
                     47,                 1.8494,                 1.5487,                 2.6271,                0.85309,                0.66937,                0.73455,                0.51592,                 1.8571,                 1.5815,                  2.708,               0.006964,               0.006964,               0.006964
                     48,                 1.8347,                 1.5348,                 2.6213,                0.85992,                0.68618,                0.73897,                0.51691,                 1.8492,                 1.5864,                  2.698,               0.006898,               0.006898,               0.006898
                     49,                 1.8273,                 1.5283,                 2.6102,                0.84765,                0.68449,                0.74308,                0.52469,                 1.8456,                  1.588,                 2.6973,               0.006832,               0.006832,               0.006832
                     50,                 1.8104,                 1.5122,                  2.595,                0.84316,                0.69195,                0.73888,                0.52132,                 1.8414,                 1.5721,                 2.6982,               0.006766,               0.006766,               0.006766
                     51,                 1.8159,                 1.5115,                 2.5985,                0.84101,                0.68438,                0.73242,                0.51666,                 1.8448,                 1.5744,                 2.6999,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.8111,                 1.5098,                  2.596,                0.82953,                 0.6788,                0.73271,                0.51831,                 1.8473,                 1.5795,                  2.696,               0.006634,               0.006634,               0.006634
                     53,                 1.8154,                 1.5072,                  2.588,                0.83832,                0.68764,                 0.7388,                0.52134,                 1.8525,                 1.5696,                 2.7011,               0.006568,               0.006568,               0.006568
                     54,                 1.7911,                 1.4758,                 2.5728,                0.85696,                0.68154,                0.73984,                0.52163,                 1.8432,                 1.5665,                  2.696,               0.006502,               0.006502,               0.006502
